Mixture	Neu	Oli	Ast	Mic	End	P-value	Correlation	RMSE
X133_120419_4	0.493051696275384	0.10347734907887	0.172717672667947	0.19880403408539	0.0319492478924094	0	0.634914999325044	0.772270427378055
X716_120531_4	0.0364428773323723	0.218888877567412	0.446683505680663	0.249850998485832	0.0481337409337208	0	0.844175873970529	0.554421676446399
X706_120605_4	0.0546221660311454	0.243215510554107	0.400251732454507	0.249180120819775	0.0527304701404654	0	0.871973253051238	0.493908026522937
X118_120418_4	0.0755548224727047	0.173508448277397	0.306164892541628	0.387962071930132	0.0568097647781376	0	0.831275617762932	0.557330819524922
X394_120503_4	0.121879497907537	0.205606507826261	0.117856798801144	0.464324799360955	0.0903323961041025	0	0.798095995125787	0.648522157268554
X676_120604_4	0.0777289820976765	0.354660958657565	0.258016630653143	0.19465258879373	0.114940839797886	0	0.764743990692848	0.655546239098433
X207_120424_4	0.349052774512955	0.186295838558947	0.273200339023932	0.180627124230741	0.0108239236734255	0	0.774225963626713	0.637657445088506
X269_120430_4	0.16986298981318	0.134486341459271	0.363591067561356	0.332059601166192	0	0	0.802141571109232	0.602787185919214
X656_120529_4	0.206615272662506	0.235992588846141	0.440195718007522	0.0693252497188614	0.0478711707649702	0	0.799207941824723	0.617867088502157
X453_120507_4	0.411396736814415	0.171942641511934	0.239219099799509	0.129384010736737	0.0480575111374044	0	0.736614932184075	0.682772241385563
X688_120604_4	0.132680129790737	0.352106632585409	0.426115133605037	0.0264325361765694	0.062665567842248	0	0.778858982507215	0.63937947744726
X635_120524_4	0.0917058347229532	0.455267218758067	0.314058626997999	0.125002045529697	0.0139662739912843	0	0.706945175478126	0.707738883003466
X271_120430_4	0.715359303700443	0.196885295547001	0.0303825972636288	0	0.0573728034889278	0	0.403311990519281	0.91488948812491
X155_120423_4	0.373713308770107	0.0965167254494641	0.263939442399956	0.265830523380474	0	0	0.747947465193476	0.663892619821948
X687_120604_4	0.0969591950333043	0.411564204804249	0.375426428660902	0.00608361206777386	0.109966559433771	0	0.848936624371774	0.535965407633774
X165_120423_4	0.564639620758705	0.228306715764967	0.0530056775349132	0.133282213111354	0.0207657728300614	0	0.510573601174066	0.859282884453283
X229_120425_4	0.61635861211967	0.115311195861028	0.102115122248385	0.158535038527052	0.00768003124386482	0	0.540679735190169	0.838779585527637
X683_120604_4	0.424290288528431	0.26518929599122	0.252150985435584	0.0254112271461308	0.0329582028986344	0	0.646096632319453	0.762333278022074
X243_120426_4	0.505610636134855	0.12120390741598	0.136972079767005	0.184514322010962	0.0516990546711976	0	0.589914757636619	0.807251480067188
X60_120417_4	0.125951280091467	0.157726042556405	0.303357551554928	0.392675994987892	0.0202891308093077	0	0.86025766155819	0.514686875448851
X109_120418_4	0.66553516883387	0.054921733737642	0.0917144695731195	0.176138954381769	0.0116896734736003	0	0.422438788175544	0.91016123758145
X545_120516_4	0.414853387021323	0.238296513438791	0.133383639463017	0.205339672320198	0.00812678775667039	0	0.644190561774444	0.772901871245431
X463_120514_4	0.144494090191168	0.464736040259113	0.295804013934423	0.0038830799362182	0.0910827756790779	0	0.767654080157001	0.649019341468267
X714_120531_4	0.0630857442154585	0.28458692992786	0.474971337363717	0.122623283492202	0.0547327050007625	0	0.79956486691034	0.631948974560775
X672_120530_4	0.485477737882819	0.127211118043856	0.241282591888085	0.0886804268035179	0.0573481253817227	0	0.709804322134271	0.70638866059583
X214_120425_4	0.389990062541472	0.156420628701378	0.228457103928192	0.172790373428186	0.052341831400772	0	0.672402936700204	0.739963475419426
